Ticket;Date;Timezone;Transaction;Details;Instrument;Price;Units;Direction;Spread;Cost;Stop;Loss;Take;Profit;Trailing;Stop;Financing;Commission;P/L;Amount;Balance
7365;01/11/2019;02:21:19;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7366;01/11/2019;02:36:39;AM;MST;ORDER_FILL;STOP_LOSS_ORDER;EUR/AUD;1.59499;1;Sell;0.0001;;;;0;0;-0.0014;;925.9;;
7367;01/11/2019;02:36:39;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7368;01/11/2019;03:58:58;AM;MST;MARKET_ORDER;CLIENT_ORDER;GBP/USD;;1;Sell;;;;;;;;;;;
7369;01/11/2019;03:58:58;AM;MST;ORDER_FILL;MARKET_ORDER;GBP/USD;1.2822;1;Sell;0.0001;;;;0;0;0;;925.9;;
7370;01/11/2019;03:58:58;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.2802;;;;;;;;;;;;;
7371;01/11/2019;03:58:58;AM;MST;STOP_LOSS_ORDER;ON_FILL;;1.2838;;;;;;;;;;;;;
7372;01/11/2019;04:00:03;AM;MST;MARKET_ORDER;CLIENT_ORDER;EUR/USD;;1;Buy;;;;;;;;;;;
7373;01/11/2019;04:00:03;AM;MST;ORDER_FILL;MARKET_ORDER;EUR/USD;1.15354;1;Buy;0.0001;;;;0;0;0;;925.9;;
7374;01/11/2019;04:00:03;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.15555;;;;;;;;;;;;;
7375;01/11/2019;04:00:03;AM;MST;STOP_LOSS_ORDER;ON_FILL;;1.15195;;;;;;;;;;;;;
7376;01/11/2019;04:01:07;AM;MST;MARKET_ORDER;CLIENT_ORDER;USD/CAD;;1;Buy;;;;;;;;;;;
7377;01/11/2019;04:01:07;AM;MST;ORDER_FILL;MARKET_ORDER;USD/CAD;1.31882;1;Buy;0.0001;;;;0;0;0;;925.9;;
7378;01/11/2019;04:01:07;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.32082;;;;;;;;;;;;;
7379;01/11/2019;04:01:07;AM;MST;STOP_LOSS_ORDER;ON_FILL;;1.31722;;;;;;;;;;;;;
7380;01/11/2019;04:01:54;AM;MST;MARKET_ORDER;CLIENT_ORDER;EUR/AUD;;1;Buy;;;;;;;;;;;
7381;01/11/2019;04:01:54;AM;MST;ORDER_FILL;MARKET_ORDER;EUR/AUD;1.59451;1;Buy;0.0001;;;;0;0;0;;925.9;;
7382;01/11/2019;04:01:54;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.59651;;;;;;;;;;;;;
7383;01/11/2019;04:01:54;AM;MST;STOP_LOSS_ORDER;ON_FILL;;1.59291;;;;;;;;;;;;;
7384;01/11/2019;04:09:51;AM;MST;ORDER_FILL;TAKE_PROFIT_ORDER;GBP/USD;1.2802;1;Buy;0.0002;;;;0;0;0.002;;925.9;;
7385;01/11/2019;04:09:51;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7386;01/11/2019;04:17:04;AM;MST;ORDER_FILL;STOP_LOSS_ORDER;EUR/USD;1.15194;1;Sell;0.0001;;;;0;0;-0.0016;;925.9;;
7387;01/11/2019;04:17:04;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7388;01/11/2019;04:24:53;AM;MST;MARKET_ORDER;CLIENT_ORDER;AUD/USD;;1;Sell;;;;;;;;;;;
7389;01/11/2019;04:24:53;AM;MST;ORDER_FILL;MARKET_ORDER;AUD/USD;0.72253;1;Sell;0.0001;;;;0;0;0;;925.9;;
7390;01/11/2019;04:24:53;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;0.7205;;;;;;;;;;;;;
7391;01/11/2019;04:24:53;AM;MST;STOP_LOSS_ORDER;ON_FILL;;0.7241;;;;;;;;;;;;;
