Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,P/L,Amount,Balance
2210,11/20/2017 12:05:39 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,148.62900,,,,,,,,,,,
2211,11/20/2017 12:08:28 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2212,11/20/2017 12:08:28 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,1.17864,,,,,,,,,,,
2213,11/20/2017 12:19:30 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2214,11/20/2017 12:19:30 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,1.17940,,,,,,,,,,,
2215,11/20/2017 12:23:35 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2216,11/20/2017 12:23:35 AM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,1.18006,,,,,,,,,,,
2217,11/20/2017 12:34:11 AM,PST,MARKET_ORDER,TRADE_CLOSE,EUR/USD,,333,Sell,,,,,,,,,
2218,11/20/2017 12:34:11 AM,PST,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,EUR/USD,1.17763,333,Sell,,,,,-0.00090,0.0000,0.78920,,3456.02
2219,11/20/2017 12:34:11 AM,PST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,
